X1,X2
C2.through.C4,malonate
C9.through.C12,3aminononanoate
aryl.and.biaryl.derivatives,4chlorobenzoate
aryl.and.biaryl.derivatives,benzoate
aryl.and.biaryl.derivatives,phenylacetate
aryl.and.biaryl.derivatives,phenylacetate
cinnamate.and.succinylbenzoate.derivatives,4coumarate
cinnamate.and.succinylbenzoate.derivatives,2succinylbenzoate
cinnamate.and.succinylbenzoate.derivatives,4coumaratecaffeate
aryl.and.biaryl.derivatives,phenylacetate
aryl.and.biaryl.derivatives,benzoate
aryl.and.biaryl.derivatives,anthranilate
cinnamate.and.succinylbenzoate.derivatives,2succinylbenzoate
cinnamate.and.succinylbenzoate.derivatives,2succinylbenzoate
aryl.and.biaryl.derivatives,anthranilate
cinnamate.and.succinylbenzoate.derivatives,4coumarate
cinnamate.and.succinylbenzoate.derivatives,4coumarate
aryl.and.biaryl.derivatives,phenylacetate
cinnamate.and.succinylbenzoate.derivatives,2succinylbenzoate
cinnamate.and.succinylbenzoate.derivatives,2succinylbenzoate
aryl.and.biaryl.derivatives,4hydroxybenzoate
aryl.and.biaryl.derivatives,salicylate
aryl.and.biaryl.derivatives,benzoate
aryl.and.biaryl.derivatives,nicotinicacid
aryl.and.biaryl.derivatives,4hydroxybenzoate
aryl.and.biaryl.derivatives,phenylacetate
cinnamate.and.succinylbenzoate.derivatives,caffeate4coumaratecinnamate
cinnamate.and.succinylbenzoate.derivatives,4coumarateferulatecaffeatecinnamate
cinnamate.and.succinylbenzoate.derivatives,4coumarateferulatesinapatecaffeate
aryl.and.biaryl.derivatives,4chlorobenzoatebenzoate4bromobenzoate4iodobenzoate4methylbenzoate
aryl.and.biaryl.derivatives,phenylacetate
aryl.and.biaryl.derivatives,phenylacetate
aryl.and.biaryl.derivatives,phenylacetate
aryl.and.biaryl.derivatives,benzoate
aryl.and.biaryl.derivatives,4chlorobenzoate
aryl.and.biaryl.derivatives,4hydroxybenzoate
aryl.and.biaryl.derivatives,3hydroxybenzoate
C2.through.C4,4hydroxybutyrate
aryl.and.biaryl.derivatives,salicylate
aryl.and.biaryl.derivatives,2hydroxy7methoxy5methyl1naphthoate
cinnamate.and.succinylbenzoate.derivatives,4coumarate
